SMILES,logKoc
CC(=O)c1c2ccccc2cc2ccccc12,3.58
C#CCO[S@](=O)O[C@@H]1CCCC[C@@H]1Oc1ccc(C(C)(C)C)cc1,3.6
Cc1ccc(C)c(C)c1,3.6
CCCNc1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],3.61
Cc1cc(C)c(C)c(O)c1,3.61
Oc1cc(Cl)cc(Cl)c1Cl,3.61
CCc1ccc(C)cc1,3.62
CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],3.63
Oc1ccc2c(c1)CCC2,3.63
O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1,3.65
COC(=O)c1cc(Oc2ccc(Cl)cc2Cl)ccc1[N+](=O)[O-],3.66
COC(=O)c1c(Cl)c(Cl)c(C(=O)OC)c(Cl)c1Cl,3.67
c1ccc2c(c1)[nH]c1ccccc12,3.68
CCCCOC(=O)COC(=O)c1ccccc1C(=O)OCCCC,3.7
CCCCSP(=O)(CSCCC)SCCCC,3.7
C[C@@H]1CCCCN1CCCOC(=O)c1ccc(Cl)c(Cl)c1,3.7
OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,3.7
CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,3.72
C=CCO[C@@H](Cn1ccnc1)c1ccc(Cl)cc1Cl,3.73
C1=Cc2cccc3cccc1c23,3.75
Clc1cc(Cl)cc([C@]2(CC(Cl)(Cl)Cl)CO2)c1,3.75
Clc1ccc(Cl)c(Cl)c1Cl,3.76
CCc1cccc2ccccc12,3.78
C[C@@H]1[C@@H](c2ccc(Cl)cc2)SC(=O)N1C(=O)NC1CCCCC1,3.79
Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,3.79
O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)cc1,3.83
CCCOP(=S)(OCCC)OP(=S)(OCCC)OCCC,3.84
c1cc2c3c(cccc3c1)CC2,3.85
CN(C)c1ccc(/N=N/c2ccccc2)cc1,3.87
O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,3.9
c1ccc2c(c1)oc1ccccc12,3.91
CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,3.92
Clc1ccccc1-c1ccccc1Cl,3.92
Nc1c(Cl)c(Cl)cc(Cl)c1Cl,3.94
CC[C@@H](C)Nc1c([N+](=O)[O-])cc(C(C)(C)C)cc1[N+](=O)[O-],3.95
CN(C)c1ccc(Cc2ccc(N(C)C)cc2)cc1,3.96
CCOC(=O)[C@@H](C)Oc1ccc(Oc2nc3ccc(Cl)cc3o2)cc1,3.98
CCCCCCCC(=O)Oc1c(Br)cc(C#N)cc1Br,4.0
CCCN(CCC)c1c([N+](=O)[O-])cc(C(C)C)cc1[N+](=O)[O-],4.0
CCN(Cc1c(F)cccc1Cl)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],4.0
CCCN(CC1CC1)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],4.01
ClC1=C(Cl)[C@]2(Cl)[C@H]3[C@H](Cl)[C@@H]4O[C@@H]4[C@H]3[C@@]1(Cl)C2(Cl)Cl,4.02
c1ccc2nc(-c3ccc4ccccc4n3)ccc2c1,4.02
CCCCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],4.03
O=[N+]([O-])c1c(Cl)c(Cl)cc(Cl)c1Cl,4.05
Cc1cc2ccccc2cc1C,4.08
ClC1=C(Cl)[C@]2(Cl)[C@H]3[C@H]4C[C@H]([C@H]5O[C@@H]45)[C@H]3[C@@]1(Cl)C2(Cl)Cl,4.08
c1ccc2nc3ccccc3cc2c1,4.11
CCc1cc(CC)cc(CC)c1,4.12
O=[S@]1OC[C@@H]2[C@H](CO1)[C@@]1(Cl)C(Cl)=C(Cl)[C@]2(Cl)C1(Cl)Cl,4.13
CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,4.14
Clc1ccc(-c2ccccc2Cl)cc1,4.14
CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],4.15
c1ccc(C2CCCCC2)cc1,4.18
CCCC[C@@H](CC)COC(=O)CCCCC(=O)OC[C@@H](CC)CCCC,4.19
COC(=O)[C@H](C)Oc1ccc(Oc2ccc(Cl)cc2Cl)cc1,4.2
